Location,Burrito,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
Tacos por favor,Al pastor,,,,,,,6.85,4,3,5,4,3,5,4,3,4,3,4,Christian,,32.7520904,-117.0698457
Tacos por favor,Carne asada,,,,,,,6.85,4,4,5,3.5,3,4,4,3,3,3,3.5,Sam H,,32.7520904,-117.0698457
El Dorado Mexican Food,California,Temecula,29000 Old Town Front St,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,,6.94,4,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,Scott,Salsa verde has an interesting hint of garlic,33.4841601,-117.142935
El Dorado Mexican Food,Super,,,,,,,6.94,3.75,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,Emily,,33.4841601,-117.142935
Lolita's Taco Shop,California,,,,,,,7,2.2,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,Scott,,33.4841601,-117.142935
Lolita's Taco Shop,California,,,,,,,7,3.5,4,4,4,3,4,5,4,4,5,4,Cris,,33.4841601,-117.142935
Lolita's Taco Shop,California,,,,,,,7,3,3.5,2,3,4,2,4,3,3,4,3,Matt,,33.4841601,-117.142935
Lolita's Taco Shop,Mixed,,,,,,,8.25,4,4,3,4,4,4,5,3,4,5,3.5,Marc,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,3,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9,Scott,Temperature brought it down,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4.5,4,4,4.5,4,4,3.5,4,4,4.5,4.25,Ricardo,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4,3,2.5,4,4,4,2,2,3,4,4,Elynn,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,3,5,4,4,4.5,4,4.5,,4,4,4.5,Erin,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4,4,3.5,4.5,4,4.5,4,4.5,4.5,5,4.5,Luis,,33.4841601,-117.142935
California Burritos,Carnitas,,,,,,,5.5,4.5,5,4,5,4,4.5,4,4,4.5,4,4.5,Matteo,,33.4841601,-117.142935
California Burritos,Carne asada everything,,,,,,,6.25,3,4,3,4,3,4,3,3,4,4,4,Brent,,33.4841601,-117.142935
California Burritos,Carne asada everything,,,,,,,6.25,4.5,4,5,4.5,4,4.5,4,3,4,5,4.5,Daniel,,33.4841601,-117.142935
California Burritos,Carne asada everything,,,,,,,6.25,5,4,3,5,4,4,4,5,5,3,4.2,Alejandro,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4,4,4,3.5,4,3,4,4,3.5,4.5,3.75,Ricardo,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4,3,2,4,5,4,4,3,4,3,4,Elynn,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,4,4,3.5,3.5,4,3.5,4,3.5,4,4.5,4,Matteo,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,3.5,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,Scott,,33.4841601,-117.142935
California Burritos,California Everything,,,,,,,6.25,3,4,4,4.5,5,4.75,5,4,4.5,4.5,,Aga,,33.4841601,-117.142935
California Burritos,Surf & Turf,,,,,,,7,4.31,3,2.5,3.5,3,3.5,4,3,3,4,,Hannah,,33.4841601,-117.142935
California Burritos,Carne asada everything,,,,,,,6.25,4.5,4.5,4,4,4.5,4,4,4.5,4.5,4,4,Brent,,33.4841601,-117.142935
Los Primos Mexican Food,Surf & Turf,,,,,,,7,2.5,4,4,2,3,2,3.5,3,3,4.5,2.5,Emily,,33.4841601,-117.142935
Los Primos Mexican Food,Adobada,,,,,,,6.25,2,4,2.5,2.5,3,2,4,3.5,3,4.5,2.6,Scott,,33.4841601,-117.142935
Los Primos Mexican Food,Carne asada,,,,,,,7,4,3.5,3,2,2,1,3,3.5,1.5,4,2,Ricardo,,33.4841601,-117.142935
Papa Chito's Mexican Food,California,University City,3951 Governor Dr,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,,6.25,3.5,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,Scott,,32.8535474,-117.2039457
Papa Chito's Mexican Food,California,,,,,,,6.25,4,4,5,3,3,4,3.5,4,4,5,3.75,Sage,,32.8535474,-117.2039457
El Pueblo Mexican Food,California,Cardiff ,820 Birmingham Dr,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4,4.7,,4.99,4,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,Scott,,32.7976795,-117.1532999
Burros and Fries,California,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,3.5,4.1,,6.89,4,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Scott,good fries,32.8297288,-117.2050566
Burros and Fries,Carne asada,,,,,,,6.89,5,3,5,4.5,4.5,3,4,4.5,4,4.5,4,Brent,very little guac,32.8297288,-117.2050566
King Burrito,Adobada,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,4,3.9,,4.99,3.5,3,3,3,3,2.5,2,2.5,3,4,2.8,Emily,Too much tortilla per bite,33.1788465,-117.2947296
King Burrito,California,,,,,,,5.29,3.5,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,Scott,it does taste homemade. but that's not a good thing,33.1788465,-117.2947296
Taco Stand,California ,,,,,,,7.49,2,4,5,4.5,3.5,3.5,2,3.5,4,5,4,Scott,,33.1788465,-117.2947296
Taco Stand,California ,,,,,,,7.49,2.5,3.5,5,4,3,4,4.5,3,3.5,5,4,TJ,,33.1788465,-117.2947296
Carmen's Mexican Food,Adobada,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,,6.5,3.5,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Scott,really good guac,32.8352268,-117.1868331
Carmen's Mexican Food,Carne asada,,,,,,,6.5,5,4.5,4.5,3.5,4,4,3.5,4,4,4,4,Brent,,32.8352268,-117.1868331
Senor Panchos,Pollo asado,San Marcos,1909 W San Marcos Blvd,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,4,4.2,,6.25,3.5,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,Scott,"guac is good, very avocado-y",33.1314939,-117.2095632
Senor Panchos,California,,,,,,,6.25,3,3,4,4,3,3.5,4.5,4,4,5,4,Emily,feels very dense; a lot of meat,33.1314939,-117.2095632
Los Cabos,California,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,4,4.1,x,5.99,4,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,Scott,Repeatedly get large bites of sour cream,33.1467401,-117.1991346
Los Cabos,Al pastor,,,,,,,5.69,3,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,Emily,Really good with lime,33.1467401,-117.1991346
Rubios UCSD,Tilapia one,UTC,9500 Gilman Dr,https://www.yelp.com/biz/rubios-la-jolla-4,3.5,3.4,x,7.99,3.5,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,Scott,,32.8799731,-117.237084
Lucha Libre North Park,Surf & Turf,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,x,8.25,4,3,2.5,3,3,3,3,3.5,3,3,3,Hannah,,32.7486959,-117.1297798
Lucha Libre North Park,Surf & Turf,,,,,,,8.25,3,5,3,5,4,2,2,5,2,2,2,Tammy,,32.7486959,-117.1297798
Lucha Libre North Park,Surf & Turf,,,,,,,8.25,3.9,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,Bankole,Not as good as the first time,32.7486959,-117.1297798
Lucha Libre North Park,Surf & Turf,,,,,,,8.25,4,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,Melissa N,,32.7486959,-117.1297798
Lucha Libre North Park,Surf & Turf,,,,,,,8.25,3.5,3.6,3.2,3.2,3.5,3.6,3.5,,3.8,3.9,3.6,Katie,,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,3,3,3,4,3.5,3,2,3.5,3.5,4,3.9,Emily,thick chips,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,4,3.5,2,4,3,5,5,4,4,5,3.5,Melissa G,Good guac,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,4,4,3,3,3,3,2,3,3,4,3,Marc,"shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre",32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,1,3,2,4,3,5,5,4,3.5,5,3.5,Ashley G,good guac but fries could be better,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,2,3.5,2,5,3.5,4,2.5,3.5,3,3.5,3.5,Richard,probably positively biased by service,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,3,5,4,4,4,3,3,4,4,4,4,Mike,,32.7486959,-117.1297798
Lucha Libre North Park,Surfin California,,,,,,,8.25,1,4,3,3.5,3,5,4,2,3,4,3,Sankha G,,32.7486959,-117.1297798
Lucha Libre North Park,Nutty,,,,,,,7.5,3.8,3.8,4,4,4,4,4,4.5,4.5,4.5,4.4,Luis,,32.7486959,-117.1297798
Lucha Libre North Park,Veg Out,,,,,,,6.95,3,5,5,,5,,5,4.5,5,3,4.5,Aga,,32.7486959,-117.1297798
Lucha Libre North Park,Veggie,,,,,,,5.25,3,4.5,4.5,,3.5,,3,4,3.5,5,3.25,Rob G,,32.7486959,-117.1297798
Lucha Libre North Park,Bean and cheese,,,,,,,3.75,5,4,3,,1,,3,3,2,3,2,Meghan,Bland,32.7486959,-117.1297798
Lucha Libre North Park,California - Steak,,,,,,,7.5,2.5,3,3,5,3.5,3,3.5,4.5,4,4.5,3.9,Scott,"first bite sour cream, but probably the best steak I've had in a burrito",32.7486959,-117.1297798
Lucha Libre North Park,California - Steak,,,,,,,7.5,5,3.5,3,2,3,3,2,4,2.5,5,3.5,Devleena,fries = 4,32.7486959,-117.1297798
Lucha Libre North Park,California - Pork Adobada,,,,,,,7.5,4,2,3,3,3,4,3,4,3,5,3,Erik,,32.7486959,-117.1297798
Lucha Libre North Park,California - Pork Adobada,,,,,,,7.5,4.5,3.5,4,4.5,4,3.5,3.5,4,4,4.5,4.25,Ricardo,,32.7486959,-117.1297798
Lucha Libre North Park,California - Pork Adobada,,,,,,,7.5,2,4,5,5,4,4.5,4.5,5,4.5,4,4.5,Erin,,32.7486959,-117.1297798
Lucha Libre North Park,California - Chicken,,,,,,,7.5,4,3.5,2.5,3,4.5,3,2,5,4.5,3.5,2.5,Kelsey,,32.7486959,-117.1297798
Lucha Libre North Park,California - Chicken,,,,,,,7.5,3,3.5,5,3.5,4,3,3,4,2.5,5,3,Javier,"large, bt feels good in my hands",32.7486959,-117.1297798
Lucha Libre North Park,Holy Moly,,,,,,,7.5,5,3.5,2,3.5,3.5,3,4,2,2,4,3.5,Sam A,,32.7486959,-117.1297798
Lucha Libre North Park,Holy Moly,,,,,,,7.5,3,2.5,2.5,3,2,2,1,5,1,5,1.5,Sage,all meat at bottom 1/8th,32.7486959,-117.1297798
Lucha Libre North Park,Holy Moly,,,,,,,7.5,4,5,3,5,5,3,2,2,3,5,4,Aaron S,,32.7486959,-117.1297798
Lucha Libre North Park,Holy Moly,,,,,,,7.5,5,5,4,2,1,4,3,5,4,2,2,Jaeyoung,Ordered a specialty burrito and guess I was expecting an ordinary one! Sauce was good but overpowering; no veggies at all; overall just did not feel like a burrito.,32.7486959,-117.1297798
Lucha Libre North Park,Holy Moly,,,,,,,7.5,4.5,4,4,3.5,4.5,4,4,5,4.5,4,4,Matteo,,32.7486959,-117.1297798
Tacos La Bala,Pastor,Houston,5800 Bellaire Blvd,tacoslabala.com,4.5,4.1,,4.99,3.5,2.5,2.5,4,2.5,1,1,2,4,0,2.5,Scott,Everything is in spanish. Get a taco or sope,29.70652,-95.48341
Tacos La Bala,Barbacoa ,,,,,,,4.99,2.5,2,2.5,3.5,2,3,2.5,2,2.5,2.5,2.4,Emily,"Burritos cut in half, felt like a wrap instead of a burrito",29.70652,-95.48341
Cancun Mexican & Seafood,Adobada,,,,,,,6.45,3,4,5,3.5,3,3.5,3.5,4,2.5,4,3.5,Scott,Free salad,29.70652,-95.48341
Cancun Mexican & Seafood,California,,,,,,,6.99,4,3,4.5,4,4,3.5,3,4,4,5,4,Emily,,29.70652,-95.48341
Roberto's Taco Shop Clairemont,California,Clairemont,3095 Clairemont Dr,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,4,4,,5.79,4,3,4.5,4,4,4,5,2.5,3,5,3.6,Scott,Fries are really good but the overall flavor is plain because lack of ingredients,32.7973995,-117.192783
Roberto's Taco Shop Clairemont,California,,,,,,,5.79,4,4,3,4,2.5,3.5,4,2,2.5,5,3,Benni,,32.7973995,-117.192783
Roberto's Taco Shop Clairemont,California + Guac + sour cream,,,,,,,7.29,3.7,3.8,4.7,4,3.5,4.5,4,4,4.5,5,4,Luis,,32.7973995,-117.192783
Roberto's Taco Shop Clairemont,Carne asada,,,,,,,5.69,3,4,3,1.5,3,4,4.5,3.5,2,4.5,3,Ricardo,,32.7973995,-117.192783
Chipotle,Carnitas,Carlsbad,2505 Palomar airport Rd,https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,3,4.2,,7.15,4,2.5,2.5,3,2.8,2.5,3.5,,3,3.5,2.75,Emily,,33.1297433,-117.2668654
Taco Stand,Al Pastor,,,,,,,6.99,4,4.5,4,4.5,4.5,4.5,4.5,4.5,5,4,4.5,Mike,,33.1297433,-117.2668654
Taco Stand,California,,,,,,,7.49,4.1,4,4.5,4.5,4.5,4.7,4.5,4.2,4.5,5,4.7,Luis,,33.1297433,-117.2668654
Los Tacos,California ,,,,,,,7.9,3.5,4,5,4,4,3,4,3.5,4,4,4.2,Scott,Tortilla is burnt a bit but good. Pick is good,33.1297433,-117.2668654
Los Tacos,Local,,,,,,,7.9,3.5,4,3.5,4.5,4.5,3.5,3.5,3.5,4,3,4.3,Emily,Melted cheese is good. Cilantro is fresh,33.1297433,-117.2668654
El Cuervo,California ,Hillcrest,110 Washington St,https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,4,4.3,,6.95,3.5,3.5,3.5,3,4,3,3,4.5,3.5,2,3.6,Scott,Alfajores dessert and horchata are super good,32.7500492,-117.1636872
El Cuervo,Pollo adobado,,,,,,,5.95,4,3.5,5,4.5,3.5,4,4.5,4.5,4,5,4,Richard,First burrito I enjoyed from top to bottom,32.7500492,-117.1636872
El Torrito Foods,Asada,Vista,249 Emerald Dr,https://www.yelp.com/biz/el-torito-foods-vista-2,4,4.4,,5.49,4,3,5,3,3,2.5,4,3.5,3,5,3.1,Scott,Good because so cheap,33.191101,-117.2790471
El Torrito Foods,Adobada,,,,,,,3.99,4.5,3.5,4,3,2.5,2.8,4,2.5,2.5,5,2.6,Emily,tamale isn't good,33.191101,-117.2790471
La Morena Taco Shop and Seafood,California,Webster,5059 Federal Blvd,https://www.yelp.com/biz/la-morena-taco-shop-san-diego,4.5,4.7,,6.35,4,4,2.5,4,3,4.5,2,2,3,4,3,Erin,"Good tortilla, good amount of food, needed guac. or salsa to balance out density of fillings.",32.7211059,-117.0863535
Taco Villa,Carnitas,UTC,9500 Gilman Dr,https://www.yelp.com/biz/taco-villa-san-diego,3.5,3.5,,5.99,2.5,3.2,3.8,4.5,2.8,4,2,1.8,3.5,5,4,Scott,Carnitas very good,32.8799731,-117.237084
Rigoberto's Taco Shop,Campeon,,,,,,,7.65,4.5,3.5,4.5,2.5,2.5,1,1.5,3,2.5,3,2.7,Scott,"The big size was too big of an appeal, but there's just not enough meat",32.8799731,-117.237084
Rigoberto's Taco Shop,California,,,,,,,6.6,3.5,4,4.5,4,4,4.5,5,4.5,4.5,4.5,4.25,Ricardo,,32.8799731,-117.237084
Rigoberto's Taco Shop,Bacon breakfast,,,,,,,6.3,4,4,3.6,4,4,4,4,,4,4,4.2,Luis,,32.8799731,-117.237084
Rigoberto's Taco Shop,Carnitas,,,,,,,6.6,3,4,4,5,5,4.5,3,2,4,4,4,Elynn,,32.8799731,-117.237084
Taco Villa,Al pastor,,,,,,,5.99,4,3.5,3.5,2,3,4.5,4.5,3,3,5,3.2,Scott,get the carnitas,32.8799731,-117.237084
Valentines Mexican Food,California ,Downtown,1157 Sixth Ave,https://www.yelp.com/biz/valentines-mexican-food-san-diego-6,4,4,X,7.9,4,4,4,4,4,4.5,4,4,4,2.5,4.2,Scott,Best horchata. Fries are great. Chips are really good,32.7174996,-117.1591189
Valentines Mexican Food,California Chipotle,,,,,,,7.9,3,4,4,3.5,4.5,4,3.5,2.5,4,1.5,4,Emily,"Chips really good, really good but a little bit spicy chipotle. Very good horchata",32.7174996,-117.1591189
Matador Mexican Food,Carnitas,Morena,5201 Linda Vista Rd,https://www.yelp.com/biz/matador-mexican-grill-san-diego-2,4.5,4,X,6.6,3.2,1.4,3.7,3,3.2,4.8,2.4,3,2.9,3,3,Scott,,32.7653159,-117.1963665
Matador Mexican Food,Carne asada,,,,,,,6.6,4,4,3.5,3.5,3.5,4,3,3.5,3.5,4.5,3,Brent,Salsa too spicy,32.7653159,-117.1963665
Jose's Taco,California,Oceanside,3910 Vista Way,https://www.yelp.com/biz/joses-taco-oceanside,4,3.8,,6.1,4,3.5,3.5,2,3.5,4.5,3.5,3,3.5,4,3.3,Scott ,,33.184526,-117.2934667
Cortez Mexican Food,California ,Bonsall,5517 Mission Rd,https://www.yelp.com/biz/cortez-mexican-food-bonsall,4.2,4,,6.25,4,3.5,4,2.5,3,1.5,2.5,2.5,2.8,5,3.2,Scott ,,33.290914,-117.2259519
California Burrito Company,Dave's California,Miramar,6912 Miramar Rd,https://www.yelp.com/biz/california-burrito-company-san-diego-2,3.5,4.4,,6.5,4,3,2.5,2.5,3,4,3.5,2.5,3,5,3.3,Scott,The burrito looked beautiful when it came out. Chicken didn't add anything. would probably get the regular,32.8788215,-117.1668915
California Burrito Company,California,,,,,,,5.5,4,3.5,5,3,3,3.5,3.5,2,4,5,3.5,Devleena,,32.8788215,-117.1668915
California Burrito Company,California,,,,,,,5.5,2,3,5,3,4,2,2,2,4.5,4,3.5,Sankha G,,32.8788215,-117.1668915
Taco Villa,Chicken and rice,,,,,,,4.95,3,3.5,5,4,4,3.78,5,,4.7,5,4.2,Sage,chicken and rice burrito. simple and delicious. ,32.8788215,-117.1668915
Taco Villa,California ,,,,,,,6.99,3.5,3,3,3,3,3.7,3.5,3.8,3,5,3.5,Scott,Pretty decent,32.8788215,-117.1668915
Storehouse Kitchen ,Breakfast,La  Jolla village,,,,,,,3.5,4,5,4.5,4.2,4.7,4.4,4,4.9,5,4.6,Sage,one if the best breakfast burritos I've ever had,32.8788215,-117.1668915
California Burrito Company,Fajitas ,,,,,,,6.5,3,3,4.5,3.5,1.5,1.5,2,3.2,2,4.5,2.2,Scott,Peppers not cooked enough,32.8788215,-117.1668915
California Burrito Company,California ,,,,,,,5.5,3,3,4,4.5,3,2,4,4.5,3.5,4.5,3.5,Ricardo,Very plain burrito,32.8788215,-117.1668915
Taco Villa,Breakfast,,,,,,,4.99,4,4.5,5,3,3,3,2.5,0,2.5,5,3,Sage,pretty standard breakfast burrito. eggs and cheese. great tortilla! morning protein!,32.8788215,-117.1668915
California Burritos,California Everything,,,,,,,6.95,4,4,2,4,3,4,5,3,3,4,4,Elynn,,32.8788215,-117.1668915
California Burritos,Surf & Turf,,,,,,,7,4,3,3,3.5,4,4,3,3,4,3.5,5,Hannah,,32.8788215,-117.1668915
Taco Villa,Carnitas,,,,,,,5.95,3,4,3,4,3,4,2,3.5,3,5,3.9,Scott,,32.8788215,-117.1668915
Taco Villa,Tejano,,,,,,,6.99,3.5,2,5,4.2,3,4.7,5,3.7,4.2,5,4,Sage,,32.8788215,-117.1668915
Taco Villa,Al pastor,,,,,,,,4.5,3,4,4,4,4,4,4,4,3,4,Marc,,32.8788215,-117.1668915
Taco Villa,Shrimp with guac,,,,,,,,2,2,4,3,4,4,4,3,4,4,3,Jeremy,,32.8788215,-117.1668915
Taco Villa,Bean & cheese,,,,,,,,3,5,5,,3,2,2,,1,5,2,Shijia,,32.8788215,-117.1668915
Taco Stand Encinitas,California ,Encinitas ,642 S Coast Hwy 101,https://www.yelp.com/biz/the-taco-stand-encinitas,4,4.4,,7.49,4,2,3.5,4.2,4.3,4,2.2,4.5,4,2.2,4.2,Scott,Much better than the first time we tried this location ,33.0440809,-117.293903
Taco Stand Encinitas,California ,,,,,,,7.49,2,3.8,3.8,4,4.2,3.75,4,4.75,4.4,3.8,4.2,Emily,Possibly favorite green salsa so far,33.0440809,-117.293903
Donato's Taco Shop,Al pastor ,,,,,,,5.99,4,3,4.5,3.7,2.8,5,4.5,3,2.3,4.5,3,Scott,,33.0440809,-117.293903
Donato's Taco Shop,Carne asada,,,,,,,5.99,2,2,4,4.5,4,4,3,4,4,2,4,Elynn,,33.0440809,-117.293903
Ortiz's Taco Shop #2,California,Pacific Beach,1313 Garnet Ave,https://www.yelp.com/biz/ortizs-taco-shop-san-diego-2,4,4.2,,6.39,4,4,4,4,4,4.5,4.5,4.2,4.5,4.5,4.25,Scott,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California chicken,,,,,,,6.39,4.25,2,4,3.7,2,4,4.5,4.5,2.7,5,2.66,Sage,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California,,,,,,,6.39,4.5,3,4.4,4,4,4.5,4.2,4.3,4,5,4.2,Shijia,,32.7983334,-117.2458182
Ortiz's Taco Shop #2,California,,,,,,,6.39,4.75,2,,3.5,3,5,4,2,3.5,3.5,3.5,Jeremy,,32.7983334,-117.2458182
El Portal Fresh Mexican Grill,Mahi,Clairemont,4101 Genesee Ave,https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,4,4.4,X,7.35,2.3,4,4,3.5,2,1.5,2,2,3,1.2,3.1,Scott,,32.8175541,-117.1806305
El Portal Fresh Mexican Grill,Carnitas,,,,,,,6.7,3.75,3.5,4,4,3,3.75,4,3,3.5,4.5,3.75,Emily,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,4,2.5,4,3.75,4,3.75,5,4,4,5,3.9,Scott,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,4,3,,4,4,4,4,2,3,5,4,Ant,,32.8175541,-117.1806305
El Zarape,California,,,,,,,6.25,3,4,4,2,2,4,3,3,3,5,3,Erik,,32.8175541,-117.1806305
El Zarape,Carne asada supreme,,,,,,,6.25,4,4,4,,3.5,3.5,4,4,4,4,4,Tom,,32.8175541,-117.1806305
Famoso Mexican Street Food,Cali Diablo,Downtown,815 C St,https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,4.5,3.9,,10.5,3,2,2.5,3.3,3.5,1.5,4,2.5,2.5,3,3.1,Scott,Big roach on the floor while eating. Good prep took quite a long time. Cut in half!,32.7166296,-117.1571556
Valentines Mexican Food,Carne asada,,,,,,,6.75,3,4.5,4.7,4.5,3.5,4,4.5,4.5,3.5,5,4.2,Scott,,32.7166296,-117.1571556
Valentines Mexican Food,Pork california,,,,,,,7.9,4,5,5,4,5,5,3,4,5,3,5,Justin K,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,4,3,5,5,4,5,4,3,5,2,4.5,Shreejoy,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,4,4,4,3,4,4,4,3,3,4,4,@synapticlee,,32.7166296,-117.1571556
Valentines Mexican Food,California,,,,,,,7.9,3.5,4,3.5,4.7,4,4.5,4.5,4.5,4,3.5,4.7,@danjlurie,,32.7166296,-117.1571556
Cancun Mexican & Seafood,California ,,,,,,,6.99,4.3,4.8,5,4,4.4,5,4,4.3,4.3,5,4.5,Scott,Sour cream is surprisingly good. Avocado salsa works very well on the burrito,32.7166296,-117.1571556
Cancun Mexican & Seafood,California ,,,,,,,6.99,4,4.5,4.5,4,4.5,4,4,3.5,4.5,5,4.5,Emily,,32.7166296,-117.1571556
Los Panchos Taco Shop,California,Hillcrest,409 Washington St,https://www.yelp.com/biz/los-panchos-san-diego-2,3,3.4,x,6.25,3,3.5,5,4,3,4,3,3.5,3.5,3,3.7,Scott,,32.7496735,-117.1612401
Los Panchos Taco Shop,Bitchin California,,,,,,,7.25,4,4,4,5,4.5,4,3.5,5,4.5,5,4.4,Richard,,32.7496735,-117.1612401
Los Panchos Taco Shop,Tijuana,,,,,,,7,3.5,4,4,3.5,4,4,3.5,4.5,4,3.5,3.7,Tom,,32.7496735,-117.1612401
Pollos Maria,Combo chicken,,,,,,,6.99,3.5,3.5,2.5,4,3.5,3,2.5,2.5,4.5,0.5,3.8,Scott,Started off really great but ended with poor uniformity and wrap integrity,32.7496735,-117.1612401
Pollos Maria,Carne asada,,,,,,,6.49,3,3.5,4,3,4,3.5,4,3,4,4.5,3.5,Emily,Just way too small,32.7496735,-117.1612401
El Pollo Loco,Chicken avocado,Oceanside,3500 College Blvd,https://www.yelp.com/biz/el-pollo-loco-oceanside-5,3.5,4.1,,5.99,3.5,2,3,3.8,2.5,2.5,3,2.5,3,2.6,3.2,Scott,,32.7442939,-117.0546585
Gloria's Taco Shop,California ,South Park,1233 28th St,https://www.yelp.com/biz/glorias-taco-shop-san-diego,4,4.3,,5.65,3,4,1.5,2,3,4.2,4,3,2,4.5,2.7,Scott,Horchata tasted like bubble gum,32.7186247,-117.1336562
Gloria's Taco Shop,Cabeza,,,,,,,5.49,3,4.5,5,2,2,2.5,3.5,3,2.5,3,2,Richard,Meat is squishy,32.7186247,-117.1336562
Mr. Ruribertos Taco Shop ,California,Mission Beach,3202 Mission Blvd,https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3.5,3.7,,7.75,4,3.5,2.5,3,3.3,1.4,2.3,2.2,3.3,4.5,2.9,Scott,,32.7721947,-117.2514332
Mr. Ruribertos Taco Shop ,Carne asada,,,,,,,7.75,4,4,4.5,2,2,3.5,3.5,2,2,4,3,Brent,"Carrots are bad, got better as it went on",32.7721947,-117.2514332
Mister Falafel,Chicken Shawarma,Clairemont,4461 Clairemont Mesa Blvd,https://www.yelp.com/biz/mister-falafel-san-diego,4.5,4.6,,6.99,3.7,3.6,4,4,3,3.8,4.3,,3.8,2,3.5,Scott,Richard recommended this. Like a Mediterranean burrito,32.8340519,-117.1956122
Rigoberto's Taco Shop,California,,,,,,,6.6,,4,4.5,4,3.5,3.5,5,1.5,3.5,4.5,3.7,Scott,Usually better. Too much enchilada sauce this time,32.8340519,-117.1956122
Rigoberto's Taco Shop,Chile Relleno,,,,,,,6.6,,4,2,,4,,4.6,4.2,3.75,5,3.9,Sage,Orange salsa very spicy,32.8340519,-117.1956122
Los Tacos,Fusion,,,,,,,8.5,3.9,3,4.5,4.1,3,3.7,4,4.3,4.2,5,3.9,Scott,Fresca and verde salsas are the best,32.8340519,-117.1956122
Los Tacos,Local,,,,,,,7.9,4,3.5,4,4,3,4,4.5,4,3.8,4.8,3.8,Emily,Pastor is dry,32.8340519,-117.1956122
Taco Villa,Chicken,,,,,,,4.99,3.5,2.5,4.5,3,2.5,3,3,2,2,4,3,Scott,Somehow way better when it was leftover,32.8340519,-117.1956122
