Location,Burrito,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,Notes,Lat,Lng
Tony's Fresh Mexican Food,Chile verde pork,Miramar,7122 Miramar Rd,https://www.yelp.com/biz/tonys-fresh-mexican-food-san-diego,3,4.1,x,6.95,2,3,4,4,3,4,4,1,2,1,3,Marc,,32.8799813,-117.1605508
Tony's Fresh Mexican Food,California,,,,,,,6.25,3.5,3,3.5,3.5,4,2,3.5,1,4,4,3.9,Scott,,32.8799813,-117.1605508
Tony's Fresh Mexican Food,battered fish ,,,,,,,6.99,3,3,1,1.5,2.5,4,4,3,4.5,5,2,Nicole,,32.8799813,-117.1605508
Tony's Fresh Mexican Food,California,,,,,,,6.25,3,4,,2,2,4,4,,3,4,2.75,Cris,"to-go, no guac or sour cream, fries are a small and underdone",32.8799813,-117.1605508
Taco Stand,California,La Jolla,621 Pearl St,http://letstaco.com/,4.5,4.4,,7.49,4,3,2.5,4,4,3.5,2.5,3.5,5,4.5,4.2,Emily,Horchata is very sweet,32.8393518,-117.2768191
Taco Stand,Surf and turf ,,,,,,,8.49,2.5,4,4,4.5,4,5,4.5,3.5,4,2,4.1,Scott,,32.8393518,-117.2768191
Graciela's Taco Shop,Adobada ,Bonita,5047 Central Ave,https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,4,4.5,,5.99,3,4,4,3,3.5,4,4.5,4,4,4.5,4,Scott,Salsa verde spicy,32.7587723,-117.1080004
Graciela's Taco Shop,Barbacoa,,,,,,,5.99,2,3.5,4,3.5,,4,,4,4,1.5,4,Emily,,32.7587723,-117.1080004
Rigoberto's Taco Shop La Jolla,California,La Jolla,7345 La Jolla Blvd,https://www.yelp.com/biz/rigobertos-la-jolla-2,2.5,4,,6.4,4,3,4,2.75,3,4,2,2,,5,3,Leo,,32.8372328,-117.2780597
Rigoberto's Taco Shop La Jolla,California,,,,,,,6.4,2.5,3.5,3,3,3,4,4,1.5,,4.5,3.5,Scott,,32.8372328,-117.2780597
Lolita's taco shop,2 in 1,Kearny Mesa,7305 Clairemont Mesa Blvd,http://lolitasmexicanfood.com/,4,4.4,,8.75,3.5,1.5,2,3,3.5,4,1,3.5,4.5,4,4,Scott,Rolled tacos need more meat,32.8316432,-117.1605738
Lolita's taco shop,Adobado,,,,,,,5.5,2.5,1.5,2.5,3.5,3,4,1.5,2.5,3.5,4.5,3.5,Emily,Adobado reminds me of Indian food because of some mystery spice,32.8316432,-117.1605738
Taco Stand,California,,,,,,,7.49,2.5,4,3,4,4,4,4,4,4,3,4.6,Scott,,32.8316432,-117.1605738
Taco Stand,California,,,,,,,7.49,2.5,3,2,4.5,4,4,3.5,3,4.5,4.5,4.5,Emily,,32.8316432,-117.1605738
Lola's 7 Up Market & Deli,Shredded beef,Carlsbad,3292 Roosevelt St,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,4.5,4.9,,6,3.5,2.5,2.5,3,4,4,4,3,3.5,1.5,3.8,Emily,Food cooks fast but checking out is painfully slow,33.157106,-117.3449144
Lola's 7 Up Market & Deli,Carne asada,,,,,,,7,3.5,2.5,3,3,4,2,2,3,3.5,3.5,3,Scott,Beans are surprisingly good,33.157106,-117.3449144
Colima's Mexican Food,Hawaiian,North park,2302 University Ave,https://www.yelp.com/biz/colimas-mexican-food-san-diego,4,4.2,,6.29,3.5,3.5,5,4,4,3.5,4.5,3.5,3.5,4,4,Scott,,32.748619,-117.1398718
Colima's Mexican Food,Bandido,,,,,,,6.49,4.5,3,5,4,4,5,4,2.5,4.5,4,4,Sage,,32.748619,-117.1398718
Colima's Mexican Food,Bandido,,,,,,,6.49,4.5,3,4.5,3.5,3.5,3.5,3,3,3,4,3,Eli,Promising start but finished poorly,32.748619,-117.1398718
